ENTREZID;ENSEMBL;SYMBOL;GENENAME
1813;ENSG00000149295;DRD2;dopamine receptor D2
100422855;ENSG00000265140;MIR4301;microRNA 4301
80975;ENSG00000166682;TMPRSS5;transmembrane serine protease 5
9183;ENSG00000086827;ZW10;zw10 kinetochore protein
644672;ENSG00000228607;CLDN25;claudin 25
57646;ENSG00000048028;USP28;ubiquitin specific peptidase 28
9177;ENSG00000149305;HTR3B;5-hydroxytryptamine receptor 3B
3359;ENSG00000166736;HTR3A;5-hydroxytryptamine receptor 3A
7704;ENSG00000109906;ZBTB16;zinc finger and BTB domain containing 16
4837;ENSG00000166741;NNMT;nicotinamide N-methyltransferase
100506941;NA;NA;NA
54494;ENSG00000180425;C11orf71;chromosome 11 open reading frame 71
10179;ENSG00000076053;RBM7;RNA binding motif protein 7
25996;ENSG00000076043;REXO2;RNA exonuclease 2
120400;ENSG00000095110;NXPE1;neurexophilin and PC-esterase domain family member 1
54827;ENSG00000137634;NXPE4;neurexophilin and PC-esterase domain family member 4
120406;ENSG00000204361;NXPE2;neurexophilin and PC-esterase domain family member 2
23705;ENSG00000182985;CADM1;cell adhesion molecule 1
100506958;NA;NA;NA
283143;NA;LINC00900;long intergenic non-protein coding RNA 900
84811;ENSG00000137656;BUD13;BUD13 homolog
8882;ENSG00000109917;ZPR1;ZPR1 zinc finger
116519;ENSG00000110243;APOA5;apolipoprotein A5
337;ENSG00000110244;APOA4;apolipoprotein A4
345;ENSG00000110245;APOC3;apolipoprotein C3
335;ENSG00000118137;APOA1;apolipoprotein A1
23387;ENSG00000160584;SIK3;SIK family kinase 3
5049;ENSG00000168092;PAFAH1B2;platelet activating factor acetylhydrolase 1b catalytic subunit 2
100506982;NA;NA;NA
51092;ENSG00000149577;SIDT2;SID1 transmembrane family member 2
6876;ENSG00000149591;TAGLN;transgelin
9159;ENSG00000160613;PCSK7;proprotein convertase subtilisin/kexin type 7
257160;ENSG00000167257;RNF214;ring finger protein 214
23621;ENSG00000186318;BACE1;beta-secretase 1
22897;ENSG00000110274;CEP164;centrosomal protein 164
100129201;NA;PRR13P3;proline rich 13 pseudogene 3
57453;ENSG00000177103;DSCAML1;DS cell adhesion molecule like 1
100507028;NA;NA;NA
486;ENSG00000137731;FXYD2;FXYD domain containing ion transport regulator 2
53826;ENSG00000137726;FXYD6;FXYD domain containing ion transport regulator 6
84000;ENSG00000137747;TMPRSS13;transmembrane serine protease 13
3587;ENSG00000110324;IL10RA;interleukin 10 receptor subunit alpha
56649;ENSG00000137648;TMPRSS4;transmembrane serine protease 4
6330;ENSG00000177098;SCN4B;sodium voltage-gated channel beta subunit 4
6327;ENSG00000149575;SCN2B;sodium voltage-gated channel beta subunit 2
120425;ENSG00000160593;JAML;junction adhesion molecule like
196264;ENSG00000160588;MPZL3;myelin protein zero like 3
10205;ENSG00000149573;MPZL2;myelin protein zero like 2
916;ENSG00000198851;CD3E;CD3e molecule
915;ENSG00000167286;CD3D;CD3d molecule
917;ENSG00000160654;CD3G;CD3g molecule
9354;ENSG00000110344;UBE4A;ubiquitination factor E4A
10632;ENSG00000167283;ATP5MG;ATP synthase membrane subunit g
84796;NA;NA;NA
4297;ENSG00000118058;KMT2A;lysine methyltransferase 2A
143941;ENSG00000172425;TTC36;tetratricopeptide repeat domain 36
84866;ENSG00000149582;TMEM25;transmembrane protein 25
56912;ENSG00000118096;IFT46;intraflagellar transport 46
372;ENSG00000095139;ARCN1;archain 1
23187;ENSG00000019144;PHLDB1;pleckstrin homology like domain family B member 1
11181;ENSG00000118094;TREH;trehalase
1656;ENSG00000110367;DDX6;DEAD-box helicase 6
643;ENSG00000160683;CXCR5;C-X-C motif chemokine receptor 5
283149;ENSG00000186174;BCL9L;BCL9 like
7379;ENSG00000110375;UPK2;uroplakin 2
283150;ENSG00000176302;FOXR1;forkhead box R1
283150;ENSG00000281277;FOXR1;forkhead box R1
338657;ENSG00000186166;CENATAC;centrosomal AT-AC splicing factor
338657;ENSG00000280975;CENATAC;centrosomal AT-AC splicing factor
649946;NA;RPL23AP64;ribosomal protein L23a pseudogene 64
6230;ENSG00000118181;RPS25;ribosomal protein S25
6230;ENSG00000280831;RPS25;ribosomal protein S25
51399;ENSG00000196655;TRAPPC4;trafficking protein particle complex 4
51399;ENSG00000280495;TRAPPC4;trafficking protein particle complex 4
2542;ENSG00000137700;SLC37A4;solute carrier family 37 member 4
2542;ENSG00000281500;SLC37A4;solute carrier family 37 member 4
10525;ENSG00000149428;HYOU1;hypoxia up-regulated 1
10525;ENSG00000280682;HYOU1;hypoxia up-regulated 1
55823;ENSG00000160695;VPS11;VPS11 core subunit of CORVET and HOPS complexes
55823;ENSG00000280616;VPS11;VPS11 core subunit of CORVET and HOPS complexes
3145;ENSG00000256269;HMBS;hydroxymethylbilane synthase
3014;ENSG00000188486;H2AX;H2A.X variant histone
1798;ENSG00000172269;DPAGT1;dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
9854;ENSG00000172375;C2CD2L;C2CD2 like
25988;ENSG00000172273;HINFP;histone H4 transcription factor
64137;ENSG00000172350;ABCG4;ATP binding cassette subfamily G member 4
79671;ENSG00000160703;NLRX1;NLR family member X1
79849;ENSG00000172367;PDZD3;PDZ domain containing 3
283152;ENSG00000248712;CCDC153;coiled-coil domain containing 153
867;ENSG00000110395;CBL;Cbl proto-oncogene
4162;ENSG00000076706;MCAM;melanoma cell adhesion molecule
79102;ENSG00000173456;RNF26;ring finger protein 26
83552;ENSG00000235718;MFRP;membrane frizzled-related protein
114902;ENSG00000223953;C1QTNF5;C1q and TNF related 5
9099;ENSG00000036672;USP2;ubiquitin specific peptidase 2
100499227;NA;USP2-AS1;USP2 antisense RNA 1 (head to head)
7070;ENSG00000154096;THY1;Thy-1 cell surface antigen
5818;ENSG00000110400;NECTIN1;nectin cell adhesion molecule 1
100507077;NA;NA;NA
23650;ENSG00000137699;TRIM29;tripartite motif containing 29
729173;NA;NA;NA
220323;ENSG00000184232;OAF;out at first homolog
25833;ENSG00000137709;POU2F3;POU class 2 homeobox 3
219902;ENSG00000181264;TLCD5;TLC domain containing 5
23365;ENSG00000196914;ARHGEF12;Rho guanine nucleotide exchange factor 12
2900;ENSG00000149403;GRIK4;glutamate ionotropic receptor kainate type subunit 4
219899;ENSG00000154114;TBCEL;tubulin folding cofactor E like
7007;ENSG00000109927;TECTA;tectorin alpha
6309;ENSG00000109929;SC5D;sterol-C5-desaturase
6653;ENSG00000137642;SORL1;sortilin related receptor 1
100507165;NA;NA;NA
100507145;NA;NA;NA
399959;ENSG00000255248;MIR100HG;mir-100-let-7a-2-mir-125b-1 cluster host gene
406911;ENSG00000207971;MIR125B1;microRNA 125b-1
414899;ENSG00000259571;BLID;BH3-like motif containing, cell death inducer
406882;ENSG00000198975;MIRLET7A2;microRNA let-7a-2
406892;ENSG00000207994;MIR100;microRNA 100
84959;ENSG00000154127;UBASH3B;ubiquitin associated and SH3 domain containing B
56253;ENSG00000109943;CRTAM;cytotoxic and regulatory T cell molecule
79864;ENSG00000109944;JHY;junctional cadherin complex regulator
390259;ENSG00000188909;BSX;brain specific homeobox
341056;NA;LOC341056;SUMO1 activating enzyme subunit 1 pseudogene
3312;ENSG00000109971;HSPA8;heat shock protein family A (Hsp70) member 8
85391;ENSG00000200879;SNORD14E;small nucleolar RNA, C/D box 14E
85390;ENSG00000207118;SNORD14D;small nucleolar RNA, C/D box 14D
85389;ENSG00000202252;SNORD14C;small nucleolar RNA, C/D box 14C
79827;ENSG00000166250;CLMP;CXADR like membrane protein
100507215;NA;NA;NA
100128242;NA;NA;NA
57476;ENSG00000023171;GRAMD1B;GRAM domain containing 1B
55800;ENSG00000166257;SCN3B;sodium voltage-gated channel beta subunit 3
7753;ENSG00000166261;ZNF202;zinc finger protein 202
390260;ENSG00000221931;OR6X1;olfactory receptor family 6 subfamily X member 1
390261;ENSG00000196099;OR6M1;olfactory receptor family 6 subfamily M member 1
338661;ENSG00000204300;TMEM225;transmembrane protein 225
338662;ENSG00000181518;OR8D4;olfactory receptor family 8 subfamily D member 4
219875;ENSG00000171014;OR4D5;olfactory receptor family 4 subfamily D member 5
219874;ENSG00000181499;OR6T1;olfactory receptor family 6 subfamily T member 1
219873;ENSG00000196248;OR10S1;olfactory receptor family 10 subfamily S member 1
390264;ENSG00000254737;OR10G4;olfactory receptor family 10 subfamily G member 4
219870;ENSG00000236981;OR10G9;olfactory receptor family 10 subfamily G member 9
219869;ENSG00000234560;OR10G8;olfactory receptor family 10 subfamily G member 8
390265;ENSG00000182634;OR10G7;olfactory receptor family 10 subfamily G member 7
4013;ENSG00000110002;VWA5A;von Willebrand factor A domain containing 5A
26492;ENSG00000181214;OR8G2P;olfactory receptor family 8 subfamily G member 2 pseudogene
26494;ENSG00000197849;OR8G1;olfactory receptor family 8 subfamily G member 1
219865;ENSG00000255298;OR8G5;olfactory receptor family 8 subfamily G member 5
283159;ENSG00000196341;OR8D1;olfactory receptor family 8 subfamily D member 1
283160;ENSG00000279116;OR8D2;olfactory receptor family 8 subfamily D member 2
26595;ENSG00000284680;OR8B2;olfactory receptor family 8 subfamily B member 2
390271;ENSG00000284609;OR8B3;olfactory receptor family 8 subfamily B member 3
283162;ENSG00000280090;OR8B4;olfactory receptor family 8 subfamily B member 4
26493;ENSG00000197125;OR8B8;olfactory receptor family 8 subfamily B member 8
219858;ENSG00000170953;OR8B12;olfactory receptor family 8 subfamily B member 12
390275;ENSG00000196119;OR8A1;olfactory receptor family 8 subfamily A member 1
116337;ENSG00000154143;PANX3;pannexin 3
84897;ENSG00000154144;TBRG1;transforming growth factor beta regulator 1
54414;ENSG00000110013;SIAE;sialic acid acetylesterase
53340;ENSG00000064199;SPA17;sperm autoantigenic protein 17
4900;ENSG00000154146;NRGN;neurogranin
23584;ENSG00000019102;VSIG2;V-set and immunoglobulin domain containing 2
90952;ENSG00000149564;ESAM;endothelial cell adhesion molecule
79684;ENSG00000120458;MSANTD2;Myb/SANT DNA binding domain containing 2
100130428;NA;NA;NA
100507283;ENSG00000245498;LOC100507283;uncharacterized LOC100507283
64221;ENSG00000154134;ROBO3;roundabout guidance receptor 3
54538;ENSG00000154133;ROBO4;roundabout guidance receptor 4
220296;ENSG00000165478;HEPACAM;hepatic and glial cell adhesion molecule
641654;ENSG00000221932;HEPN1;hepatocellular carcinoma, down-regulated 1
80071;ENSG00000149548;CCDC15;coiled-coil domain containing 15
219855;ENSG00000134955;SLC37A2;solute carrier family 37 member 2
219854;ENSG00000150433;TMEM218;transmembrane protein 218
63876;ENSG00000165495;PKNOX2;PBX/knotted 1 homeobox 2
9638;ENSG00000149557;FEZ1;fasciculation and elongation protein zeta 1
403312;ENSG00000255537;LOC403312;putative uncharacterized protein MGC39545
9538;ENSG00000149547;EI24;EI24 autophagy associated transmembrane protein
3703;ENSG00000134910;STT3A;STT3 oligosaccharyltransferase complex catalytic subunit A
1111;ENSG00000149554;CHEK1;checkpoint kinase 1
56;ENSG00000134940;ACRV1;acrosomal vesicle protein 1
160065;ENSG00000171053;PATE1;prostate and testis expressed 1
399967;ENSG00000196844;PATE2;prostate and testis expressed 2
100169851;ENSG00000236027;PATE3;prostate and testis expressed 3
399968;ENSG00000237353;PATE4;prostate and testis expressed 4
219844;ENSG00000198331;HYLS1;HYLS1 centriolar and ciliogenesis associated
83480;ENSG00000110060;PUS3;pseudouridine synthase 3
29118;ENSG00000109832;DDX25;DEAD-box helicase 25
338667;ENSG00000283703;VSIG10L2;V-set and immunoglobulin domain containing 10 like 2
50937;ENSG00000064309;CDON;cell adhesion associated, oncogene regulated
84881;ENSG00000165526;RPUSD4;RNA pseudouridine synthase D4
79607;ENSG00000197798;FAM118B;family with sequence similarity 118 member B
6734;ENSG00000182934;SRPRA;SRP receptor subunit alpha
55572;ENSG00000110074;FOXRED1;FAD dependent oxidoreductase domain containing 1
114609;ENSG00000150455;TIRAP;TIR domain containing adaptor protein
28960;ENSG00000110063;DCPS;decapping enzyme, scavenger
100507348;NA;NA;NA
399972;NA;GSEC;G-quadruplex forming sequence containing lncRNA
6484;ENSG00000110080;ST3GAL4;ST3 beta-galactoside alpha-2,3-sialyltransferase 4
84623;ENSG00000149571;KIRREL3;kirre like nephrin family adhesion molecule 3
100422918;ENSG00000266215;MIR3167;microRNA 3167
2113;ENSG00000134954;ETS1;ETS proto-oncogene 1, transcription factor
100507392;ENSG00000254703;SENCR;smooth muscle and endothelial cell enriched migration/differentiation-associated lncRNA
2313;ENSG00000151702;FLI1;Fli-1 proto-oncogene, ETS transcription factor
3758;ENSG00000151704;KCNJ1;potassium inwardly rectifying channel subfamily J member 1
3762;ENSG00000120457;KCNJ5;potassium inwardly rectifying channel subfamily J member 5
219833;ENSG00000174370;C11orf45;chromosome 11 open reading frame 45
63970;ENSG00000120471;TP53AIP1;tumor protein p53 regulated apoptosis inducing protein 1
9743;ENSG00000134909;ARHGAP32;Rho GTPase activating protein 32
8538;ENSG00000043039;BARX2;BARX homeobox 2
120224;ENSG00000151715;TMEM45B;transmembrane protein 45B
4798;ENSG00000170322;NFRKB;nuclear factor related to kappaB binding protein
56980;ENSG00000170325;PRDM10;PR/SET domain 10
440072;NA;LINC00167;long intergenic non-protein coding RNA 167
334;ENSG00000084234;APLP2;amyloid beta precursor like protein 2
6768;ENSG00000149418;ST14;ST14 transmembrane serine protease matriptase
29068;ENSG00000196323;ZBTB44;zinc finger and BTB domain containing 44
11095;ENSG00000134917;ADAMTS8;ADAM metallopeptidase with thrombospondin type 1 motif 8
170689;ENSG00000166106;ADAMTS15;ADAM metallopeptidase with thrombospondin type 1 motif 15
283171;ENSG00000175728;LINC02873;long intergenic non-protein coding RNA 2873
100507431;NA;LINC02551;long intergenic non-protein coding RNA 2551
399979;ENSG00000120451;SNX19;sorting nexin 19
50863;ENSG00000182667;NTM;neurotrimin
100507450;NA;NA;NA
4978;ENSG00000183715;OPCML;opioid binding protein/cell adhesion molecule like
100128095;NA;NA;NA
219938;ENSG00000166118;SPATA19;spermatogenesis associated 19
283174;NA;NA;NA
646543;NA;NA;NA
22997;ENSG00000080854;IGSF9B;immunoglobulin superfamily member 9B
100128239;ENSG00000204241;LINC02731;long intergenic non-protein coding RNA 2731
83700;ENSG00000166086;JAM3;junctional adhesion molecule 3
23310;ENSG00000151503;NCAPD3;non-SMC condensin II complex subunit D3
100507510;NA;NA;NA
112936;ENSG00000151502;VPS26B;VPS26, retromer complex component B
29087;ENSG00000151500;THYN1;thymocyte nuclear protein 1
27034;ENSG00000151498;ACAD8;acyl-CoA dehydrogenase family member 8
112937;ENSG00000166105;GLB1L3;galactosidase beta 1 like 3
89944;ENSG00000149328;GLB1L2;galactosidase beta 1 like 2
100130507;NA;NA;NA
27087;ENSG00000109956;B3GAT1;beta-1,3-glucuronyltransferase 1
283177;ENSG00000255545;B3GAT1-DT;B3GAT1 diverget transcript
100507548;NA;LOC100507548;uncharacterized LOC100507548
100288778;ENSG00000226210;WASH8P;WAS protein family homolog 8, pseudogene
100288778;ENSG00000262435;WASH8P;WAS protein family homolog 8, pseudogene
100507301;NA;NA;NA
100302090;NA;DDX11L8;DEAD/H-box helicase 11 like 8 (pseudogene)
677784;ENSG00000249054;FAM138D;family with sequence similarity 138 member D
677784;ENSG00000262927;FAM138D;family with sequence similarity 138 member D
440073;ENSG00000120645;IQSEC3;IQ motif and Sec7 domain ArfGEF 3
440073;ENSG00000262607;IQSEC3;IQ motif and Sec7 domain ArfGEF 3
574538;ENSG00000249695;LOC574538;uncharacterized LOC574538
574538;ENSG00000263137;LOC574538;uncharacterized LOC574538
6539;ENSG00000111181;SLC6A12;solute carrier family 6 member 12
6540;ENSG00000010379;SLC6A13;solute carrier family 6 member 13
5927;ENSG00000073614;KDM5A;lysine demethylase 5A
84318;ENSG00000120647;CCDC77;coiled-coil domain containing 77
283358;ENSG00000139044;B4GALNT3;beta-1,4-N-acetyl-galactosaminyltransferase 3
4815;ENSG00000171840;NINJ2;ninjurin 2
100049716;ENSG00000177406;NINJ2-AS1;NINJ2 antisense RNA 1
65125;ENSG00000060237;WNK1;WNK lysine deficient protein kinase 1
5893;ENSG00000002016;RAD52;RAD52 homolog, DNA repair protein
100130219;NA;NA;NA
23085;ENSG00000082805;ERC1;ELKS/RAB6-interacting/CAST family member 1
100292680;ENSG00000249628;LINC00942;long intergenic non-protein coding RNA 942
144699;ENSG00000171823;FBXL14;F-box and leucine rich repeat protein 14
81029;ENSG00000111186;WNT5B;Wnt family member 5B
79602;ENSG00000006831;ADIPOR2;adiponectin receptor 2
79602;ENSG00000285070;ADIPOR2;adiponectin receptor 2
93589;ENSG00000151062;CACNA2D4;calcium voltage-gated channel auxiliary subunit alpha2delta 4
93589;ENSG00000284953;CACNA2D4;calcium voltage-gated channel auxiliary subunit alpha2delta 4
654429;ENSG00000166159;LRTM2;leucine rich repeats and transmembrane domains 2
654429;ENSG00000285383;LRTM2;leucine rich repeats and transmembrane domains 2
100271702;ENSG00000235049;LINC00940;long intergenic non-protein coding RNA 940
100271702;ENSG00000285233;LINC00940;long intergenic non-protein coding RNA 940
196513;ENSG00000151065;DCP1B;decapping mRNA 1B
196513;ENSG00000284850;DCP1B;decapping mRNA 1B
775;ENSG00000151067;CACNA1C;calcium voltage-gated channel subunit alpha1 C
775;ENSG00000285479;CACNA1C;calcium voltage-gated channel subunit alpha1 C
100507402;NA;NA;NA
283440;ENSG00000256150;ITFG2-AS1;ITFG2 antisense RNA 1
283440;ENSG00000258325;ITFG2-AS1;ITFG2 antisense RNA 1
283440;ENSG00000285134;ITFG2-AS1;ITFG2 antisense RNA 1
2288;ENSG00000004478;FKBP4;FKBP prolyl isomerase 4
55846;ENSG00000111203;ITFG2;integrin alpha FG-GAP repeat containing 2
83714;ENSG00000053702;NRIP2;nuclear receptor interacting protein 2
100507424;NA;NA;NA
2305;ENSG00000111206;FOXM1;forkhead box M1
83695;ENSG00000171792;RHNO1;RAD9-HUS1-RAD1 interacting nuclear orphan 1
7289;ENSG00000078246;TULP3;TUB like protein 3
7004;ENSG00000197905;TEAD4;TEA domain transcription factor 4
10867;ENSG00000011105;TSPAN9;tetraspanin 9
100128253;NA;LOC100128253;uncharacterized LOC100128253
100129223;ENSG00000287243;THCAT155;thyroid cancer-associated transcript 155
56341;ENSG00000111218;PRMT8;protein arginine methyltransferase 8
100128816;NA;NA;NA
84766;ENSG00000130038;CRACR2A;calcium release activated channel regulator 2A
57097;ENSG00000111224;PARP11;poly(ADP-ribose) polymerase family member 11
100507492;NA;NA;NA
100507511;NA;NA;NA
894;ENSG00000118971;CCND2;cyclin D2
57103;ENSG00000078237;TIGAR;TP53 induced glycolysis regulatory phosphatase
8074;ENSG00000118972;FGF23;fibroblast growth factor 23
2251;ENSG00000111241;FGF6;fibroblast growth factor 6
57102;ENSG00000047621;C12orf4;chromosome 12 open reading frame 4
10635;ENSG00000111247;RAD51AP1;RAD51 associated protein 1
8798;ENSG00000010219;DYRK4;dual specificity tyrosine phosphorylation regulated kinase 4
10566;ENSG00000111254;AKAP3;A-kinase anchoring protein 3
4704;ENSG00000139180;NDUFA9;NADH:ubiquinone oxidoreductase subunit A9
26290;ENSG00000130035;GALNT8;polypeptide N-acetylgalactosaminyltransferase 8
3742;ENSG00000151079;KCNA6;potassium voltage-gated channel subfamily A member 6
3736;ENSG00000111262;KCNA1;potassium voltage-gated channel subfamily A member 1
100507560;NA;LOC100507560;uncharacterized LOC100507560
3741;ENSG00000130037;KCNA5;potassium voltage-gated channel subfamily A member 5
100507576;NA;NA;NA
100507271;NA;NA;NA
4908;ENSG00000185652;NTF3;neurotrophin 3
57101;ENSG00000047617;ANO2;anoctamin 2
7450;ENSG00000110799;VWF;von Willebrand factor
928;ENSG00000010278;CD9;CD9 molecule
55200;ENSG00000008323;PLEKHG6;pleckstrin homology and RhoGEF domain containing G6
7132;ENSG00000067182;TNFRSF1A;TNF receptor superfamily member 1A
6337;ENSG00000111319;SCNN1A;sodium channel epithelial 1 subunit alpha
4055;ENSG00000111321;LTBR;lymphotoxin beta receptor
678655;ENSG00000215039;CD27-AS1;CD27 antisense RNA 1
939;ENSG00000139193;CD27;CD27 molecule
55080;ENSG00000139192;TAPBPL;TAP binding protein like
6843;ENSG00000139190;VAMP1;vesicle associated membrane protein 1
51258;ENSG00000111639;MRPL51;mitochondrial ribosomal protein L51
9918;ENSG00000010292;NCAPD2;non-SMC condensin I complex subunit D2
692148;ENSG00000239002;SCARNA10;small Cajal body-specific RNA 10
2597;ENSG00000111640;GAPDH;glyceraldehyde-3-phosphate dehydrogenase
25900;ENSG00000010295;IFFO1;intermediate filament family orphan 1
4839;ENSG00000111641;NOP2;NOP2 nucleolar protein
1108;ENSG00000111642;CHD4;chromodomain helicase DNA binding protein 4
100127974;NA;NA;NA
677780;ENSG00000251898;SCARNA11;small Cajal body-specific RNA 11
57121;ENSG00000184574;LPAR5;lysophosphatidic acid receptor 5
84519;ENSG00000111644;ACRBP;acrosin binding protein
51147;ENSG00000111653;ING4;inhibitor of growth family member 4
171017;ENSG00000126746;ZNF384;zinc finger protein 384
196500;ENSG00000139200;PIANP;PILR alpha associated neural protein
50813;ENSG00000111652;COPS7A;COP9 signalosome subunit 7A
8079;ENSG00000089693;MLF2;myeloid leukemia factor 2
5763;ENSG00000159335;PTMS;parathymosin
3902;ENSG00000089692;LAG3;lymphocyte activating 3
920;ENSG00000010610;CD4;CD4 molecule
27239;ENSG00000250510;GPR162;G protein-coupled receptor 162
10536;ENSG00000110811;P3H3;prolyl 3-hydroxylase 3
2784;ENSG00000111664;GNB3;G protein subunit beta 3
83461;ENSG00000111665;CDCA3;cell division cycle associated 3
8078;ENSG00000111667;USP5;ubiquitin specific peptidase 5
7167;ENSG00000111669;TPI1;triosephosphate isomerase 1
84727;ENSG00000111671;SPSB2;splA/ryanodine receptor domain and SOCS box containing 2
283345;ENSG00000240370;RPL13P5;ribosomal protein L13 pseudogene 5
171220;ENSG00000248593;DSTNP2;DSTN pseudogene 2
10233;ENSG00000010626;LRRC23;leucine rich repeat containing 23
2026;ENSG00000111674;ENO2;enolase 2
1822;ENSG00000111676;ATN1;atrophin 1
100147744;ENSG00000238923;RNU7-1;RNA, U7 small nuclear 1
113246;ENSG00000111678;C12orf57;chromosome 12 open reading frame 57
5777;ENSG00000111679;PTPN6;protein tyrosine phosphatase non-receptor type 6
100507644;NA;NA;NA
406985;ENSG00000207713;MIR200C;microRNA 200c
406933;ENSG00000207708;MIR141;microRNA 141
11331;ENSG00000215021;PHB2;prohibitin 2
677777;ENSG00000238795;SCARNA12;small Cajal body-specific RNA 12
10436;ENSG00000126749;EMG1;EMG1 N1-specific pseudouridine methyltransferase
10162;ENSG00000111684;LPCAT3;lysophosphatidylcholine acyltransferase 3
716;ENSG00000182326;C1S;complement C1s
715;ENSG00000159403;C1R;complement C1r
715;ENSG00000288512;C1R;complement C1r
51279;ENSG00000139178;C1RL;complement C1r subcomponent like
51279;ENSG00000288124;C1RL;complement C1r subcomponent like
283314;ENSG00000205885;C1RL-AS1;C1RL antisense RNA 1
283314;ENSG00000288352;C1RL-AS1;C1RL antisense RNA 1
83758;ENSG00000139194;RBP5;retinol binding protein 5
83758;ENSG00000288369;RBP5;retinol binding protein 5
9746;ENSG00000139182;CLSTN3;calsyntenin 3
9746;ENSG00000288427;CLSTN3;calsyntenin 3
5830;ENSG00000139197;PEX5;peroxisomal biogenesis factor 5
5830;ENSG00000288217;PEX5;peroxisomal biogenesis factor 5
341392;ENSG00000215009;ACSM4;acyl-CoA synthetase medium chain family member 4
283316;ENSG00000177675;CD163L1;CD163 molecule like 1
9332;ENSG00000177575;CD163;CD163 molecule
339;ENSG00000111701;APOBEC1;apolipoprotein B mRNA editing enzyme catalytic subunit 1
9573;ENSG00000184344;GDF3;growth differentiation factor 3
359787;ENSG00000187569;DPPA3;developmental pluripotency associated 3
170482;ENSG00000198178;CLEC4C;C-type lectin domain family 4 member C
360030;ENSG00000205857;NANOGNB;NANOG neighbor homeobox
79923;ENSG00000111704;NANOG;Nanog homeobox
144195;ENSG00000173262;SLC2A14;solute carrier family 2 member 14
6515;ENSG00000059804;SLC2A3;solute carrier family 2 member 3
55810;ENSG00000065970;FOXJ2;forkhead box J2
719;ENSG00000171860;C3AR1;complement C3a receptor 1
25977;ENSG00000089818;NECAP1;NECAP endocytosis associated 1
50856;ENSG00000111729;CLEC4A;C-type lectin domain family 4 member A
50856;ENSG00000284697;CLEC4A;C-type lectin domain family 4 member A
642559;ENSG00000235602;POU5F1P3;POU class 5 homeobox 1 pseudogene 3
440077;ENSG00000196946;ZNF705A;zinc finger protein 705A
440078;ENSG00000226711;FAM66C;family with sequence similarity 66 member C
55138;ENSG00000171847;FAM90A1;family with sequence similarity 90 member A1
643856;NA;NA;NA
653113;NA;FAM86FP;family with sequence similarity 86, member A pseudogene
389634;ENSG00000226091;LINC00937;long intergenic non-protein coding RNA 937
93978;ENSG00000205846;CLEC6A;C-type lectin domain containing 6A
338339;ENSG00000166527;CLEC4D;C-type lectin domain family 4 member D
26253;ENSG00000166523;CLEC4E;C-type lectin domain family 4 member E
57379;ENSG00000111732;AICDA;activation induced cytidine deaminase
8076;ENSG00000197614;MFAP5;microfibril associated protein 5
57494;ENSG00000166532;RIMKLB;ribosomal modification protein rimK like family member B
100506112;NA;NA;NA
144568;ENSG00000166535;A2ML1;alpha-2-macroglobulin like 1
1911;ENSG00000111752;PHC1;polyhomeotic homolog 1
4074;ENSG00000003056;M6PR;mannose-6-phosphate receptor, cation dependent
10219;ENSG00000139187;KLRG1;killer cell lectin like receptor G1
253128;ENSG00000214851;LINC00612;long intergenic non-protein coding RNA 612
144571;ENSG00000245105;A2M-AS1;A2M antisense RNA 1
2;ENSG00000175899;A2M;alpha-2-macroglobulin
5858;ENSG00000126838;PZP;PZP alpha-2-macroglobulin like
100422885;ENSG00000283498;MIR1244-2;microRNA 1244-2
100499405;ENSG00000237248;LINC00987;long intergenic non-protein coding RNA 987
642846;NA;LOC642846;DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like
728715;NA;LOC728715;ovostatin homolog 2
440081;NA;DDX12P;DEAD/H-box helicase 12, pseudogene
408186;NA;LOC408186;alpha-2-macroglobulin like 1 pseudogene
3820;ENSG00000111796;KLRB1;killer cell lectin like receptor B1
374443;ENSG00000256594;LOC374443;C-type lectin domain family 2 member D pseudogene
29121;ENSG00000069493;CLEC2D;C-type lectin domain family 2 member D
160365;ENSG00000184293;CLECL1;C-type lectin like 1
969;ENSG00000110848;CD69;CD69 molecule
51348;ENSG00000150045;KLRF1;killer cell lectin like receptor F1
9976;ENSG00000110852;CLEC2B;C-type lectin domain family 2 member B
100431172;ENSG00000256797;KLRF2;killer cell lectin like receptor F2
387836;ENSG00000188393;CLEC2A;C-type lectin domain family 2 member A
100506159;ENSG00000225231;LINC02470;long intergenic non-protein coding RNA 2470
160364;ENSG00000172322;CLEC12A;C-type lectin domain family 12 member A
51266;ENSG00000165682;CLEC1B;C-type lectin domain family 1 member B
387837;ENSG00000256660;CLEC12B;C-type lectin domain family 12 member B
283420;ENSG00000197992;CLEC9A;C-type lectin domain containing 9A
51267;ENSG00000150048;CLEC1A;C-type lectin domain family 1 member A
64581;ENSG00000172243;CLEC7A;C-type lectin domain containing 7A
4973;ENSG00000173391;OLR1;oxidized low density lipoprotein receptor 1
120939;ENSG00000165685;TMEM52B;transmembrane protein 52B
23710;ENSG00000139112;GABARAPL1;GABA type A receptor associated protein like 1
3824;ENSG00000134539;KLRD1;killer cell lectin like receptor D1
22914;ENSG00000213809;KLRK1;killer cell lectin like receptor K1
8302;ENSG00000183542;KLRC4;killer cell lectin like receptor C4
3823;ENSG00000205810;KLRC3;killer cell lectin like receptor C3
